category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
Batch Modeling,Batch Distillation,3phase.bkp,FLOWSHEET,3,1,3,BATCHSEP,UNIF-DMD,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Azeotrope.bkp,FLOWSHEET,3,1,3,BATCHSEP,NRTL,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Batch evaporator loop.bkp,FLOWSHEET,4,4,7,BATCHOP + FLASH2 + HEATX + PUMP,NRTL / STEAMNBS,METSPEC,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,60.00 C,0.78~1.96 bar,4,BATCHOP > FLASH2 > HEATX > PUMP | 4条连接,OK,-
Batch Modeling,Batch Distillation,BenzeneMCBDCB.bkp,FLOWSHEET,3,1,3,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00~1.08 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,BenzeneToluene.bkp,FLOWSHEET,3,1,4,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,25.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,HeptHexOct.bkp,FLOWSHEET,4,1,3,BATCHSEP,NRTL / PENG-ROB,METCBAR,-,OPTIMIZATION,-,20.00~105.00 C,1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Inverted batch distillation using RADFRAC.bkp,FLOWSHEET,4,4,7,BATCHOP + HEATER + RADFRAC,NRTL,METSPEC,-,OPTIMIZATION CONV-OPTIONS,-,50.00~60.00 C,0.98 bar,4,BATCHOP > HEATER > RADFRAC | 4条连接,OK,-
Batch Modeling,Batch Distillation,Multistep.bkp,FLOWSHEET,4,1,4,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,20.00~25.00 C,1.00~14.70 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Polyester adhesive batch process using RADFRAC.bkp,FLOWSHEET,10,6,10,BATCHOP + FSPLIT + RADFRAC + TRANSFER,POLYNRTL / NRTL,METSPEC,-,OPTIMIZATION CONV-OPTIONS,-,25.00 C,0.98 bar,5,BATCHOP > FSPLIT > RADFRAC > TRANSFER | 5条连接,OK,-
Batch Modeling,Batch Distillation,ReactiveDistillation.bkp,FLOWSHEET,4,1,4,BATCHSEP,NRTL-HOC,METCBAR,-,OPTIMIZATION,POWERLAW,20.00~25.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
